respondent_id,typist,typing_method,typed_type
1,Олена Іванівна,Метод Візуального типування,INTJ
2,Андрій Володимирович,Метод Аудіального типування,ENFP
3,Марія Петрівна,Метод Аналізу Аспектів,ISTP
4,Сергій Олексійович,Метод Аналізу Поведінки,ESFJ
5,Ірина Вікторівна,Метод 5,ENTJ
6,Максим Сергійович,Метод Візуального типування,INTP
7,Олександра Андріївна,Метод Аудіального типування,ENFJ
8,Артем Ігорович,Метод Аналізу Аспектів,ISTJ
9,Анастасія Олександрівна,Метод Аналізу Поведінки,ESFP
10,Михайло Васильович,Метод 5,ENTP
11,Юлія Андріївна,Метод Візуального типування,INTJ
12,Олег Ігорович,Метод Аудіального типування,ENFP
13,Наталія Василівна,Метод Аналізу Аспектів,ISTP
14,Володимир Миколайович,Метод Аналізу Поведінки,ESFJ
15,Оксана Олексіївна,Метод 5,ENTJ
16,Вікторія Максимівна,Метод Візуального типування,INTP
17,Ігор Сергійович,Метод Аудіального типування,ENFJ
18,Ірина Вікторівна,Метод Аналізу Аспектів,ISTJ
19,Олексій Анатолійович,Метод Аналізу Поведінки,ESFP
20,Катерина Михайлівна,Метод 5,ENTP
21,Андрій Олегович,Метод Візуального типування,INTJ
22,Ірина Петрівна,Метод Аудіального типування,ENFP
23,Максим Сергійович,Метод Аналізу Аспектів,ISTP
24,Олена Василівна,Метод Аналізу Поведінки,ESFJ
25,Віктор Олександрович,Метод 5,ENTJ
26,Наталія Михайлівна,Метод Візуального типування,INTP
27,Ігор Володимирович,Метод Аудіального типування,ENFJ
28,Оксана Андріївна,Метод Аналізу Аспектів,ISTJ
29,Михайло Олексійович,Метод Аналізу Поведінки,ESFP
30,Катерина Вікторівна,Метод 5,ENTP
31,Олег Максимович,Метод Візуального типування,INTJ
32,Юлія Петрівна,Метод Аудіального типування,ENFP
33,Сергій Сергійович,Метод Аналізу Аспектів,ISTP
34,Олександра Василівна,Метод Аналізу Поведінки,ESFJ
35,Андрій Олексійович,Метод 5,ENTJ
36,Наталія Максимівна,Метод Візуального типування,INTP
37,Максим Володимирович,Метод Аудіального типування,ENFJ
38,Ірина Андріївна,Метод Аналізу Аспектів,ISTJ
39,Олексій Олегович,Метод Аналізу Поведінки,ESFP
40,Вікторія Михайлівна,Метод 5,ENTP
41,Андрій Васильович,Метод Візуального типування,INTJ
42,Олена Ігорівна,Метод Аудіального типування,ENFP
